1;Rolland;Klinkhamer 41;Nieuwkoop;12345678;61234567
2;Steve;GraafFloris;Gouda;IBAN1234567;18212345
3;Julie;1 Nijenoord;Utrecht;98654321;69182736
4;Vonda;Bleuland;Utrecht;45665432;61211167
5;Rolland;Klinkhamer 41;Nieuwkoop;12345678;61234567
zes;dave;lalala 1234;LOL;12712312;123456
7;Sjon;sjonniestraat 1;In The CITY;23459432;!@#$%^&*()_+
8;Henk;blabla 45;;94279483;987578
9;Jan;Hehehe 456;Stadjuh;;3456543
10;Timmy;<(-_-)>;O_o;(-_-);
11;;Gaar;Weird;cool12345;987654
12;Martin;Leermos 90;Rotterdam;12356743;nullzeseentwee
13;Rene;;Amsterdam;IBAN 7654321;69876543
